model	length
AT2G22050.2	259
AT2G20350.1	159
AT2G46280.1	329
AT2G46280.2	329
AT2G46280.3	255
AT2G26640.1	510
AT2G28810.1	341
AT2G28810.2	324
AT2G19870.1	590
AT2G46700.1	596
AT2G46700.2	372
AT2G14210.1	235
AT2G22060.1	147
AT2G26530.1	318
AT2G26530.2	291
AT2G35330.1	739
AT2G35330.2	712
AT2G41860.1	531
AT2G41860.2	531
AT2G35410.1	309
AT2G42450.1	547
AT2G28520.1	818
AT2G27780.1	369
AT2G21690.1	118
AT2G05510.1	128
AT2G05510.2	105
AT2G05510.5	102
AT2G05510.4	100
AT2G05510.6	94
AT2G05510.3	91
AT2G21810.1	129
AT2G26380.1	481
AT2G33730.1	734
AT2G42980.1	528
AT2G39760.1	409
AT2G39760.2	344
AT2G27145.1	80
AT2G22345.1	62
AT2G44440.1	430
AT2G16580.1	109
AT2G37810.1	234
AT2G29900.1	398
AT2G31440.1	251
AT2G30730.1	339
AT2G21220.1	105
AT2G32290.1	578
AT2G23690.1	164
AT2G40710.1	94
AT2G40116.1	614
AT2G18915.2	612
AT2G18915.1	602
AT2G16620.1	134
AT2G30925.1	43
AT2G40400.1	736
AT2G40400.2	736
AT2G30440.1	341
AT2G02930.1	213
AT2G13790.1	621
AT2G03550.1	313
AT2G26280.1	568
AT2G11005.1	171
AT2G32040.1	561
AT2G17480.1	594
AT2G39850.1	776
AT2G20618.1	82
AT2G17750.1	397
AT2G34940.1	619
AT2G18720.1	471
AT2G13800.1	602
AT2G20320.1	1030
AT2G16190.1	304
AT2G16190.2	278
AT2G30470.1	791
AT2G21960.1	333
AT2G18900.1	805
AT2G02050.1	104
AT2G27300.1	336
AT2G31800.1	477
AT2G02970.1	556
AT2G34530.1	283
AT2G34530.2	242
AT2G01554.1	106
AT2G40030.1	1977
AT2G26320.1	110
AT2G19050.1	350
AT2G12400.1	542
AT2G43230.2	441
AT2G43230.1	407
AT2G30840.1	363
AT2G46420.1	364
AT2G46420.2	346
AT2G44110.2	498
AT2G44110.1	497
AT2G30000.1	111
AT2G46455.1	187
AT2G36420.1	440
AT2G06200.1	245
AT2G33580.1	665
AT2G37100.1	298
AT2G15610.1	154
AT2G38010.2	793
AT2G38010.1	758
AT2G20625.1	180
AT2G19490.1	431
AT2G15440.1	330
AT2G35320.1	308
AT2G29890.3	934
AT2G29890.2	912
AT2G29890.1	910
AT2G30870.1	216
AT2G43960.1	443
AT2G47400.1	125
AT2G42750.1	345
AT2G03565.1	67
AT2G40360.1	754
AT2G05050.1	194
AT2G24190.2	302
AT2G24190.1	297
AT2G20750.1	272
AT2G30020.1	397
AT2G01170.1	517
AT2G01170.2	438
AT2G33270.1	274
AT2G43820.1	450
AT2G39445.1	182
AT2G22560.1	948
AT2G12462.1	250
AT2G39800.1	718
AT2G39800.4	718
AT2G39800.3	715
AT2G39800.2	615
AT2G43510.1	90
AT2G03030.1	205
AT2G43010.1	431
AT2G43010.2	429
AT2G09990.1	147
AT2G36854.1	62
AT2G28760.1	344
AT2G28760.2	344
AT2G28760.3	344
AT2G02520.1	212
AT2G27970.1	84
AT2G02795.1	169
AT2G05330.1	216
AT2G36400.1	399
AT2G41950.1	267
AT2G43640.1	122
AT2G43640.2	122
AT2G43640.3	113
AT2G41760.1	222
AT2G46490.1	135
AT2G42240.2	303
AT2G42240.1	293
AT2G42240.3	290
AT2G25260.1	359
AT2G35270.1	286
AT2G46330.1	74
AT2G46330.2	58
AT2G02140.1	74
AT2G24880.1	103
AT2G17050.1	1356
AT2G02060.1	257
AT2G21010.1	257
AT2G15025.1	186
AT2G30130.1	194
AT2G04900.1	129
AT2G04900.2	99
AT2G13650.1	334
AT2G13650.3	334
AT2G13650.2	285
AT2G27035.1	164
AT2G38760.1	322
AT2G24980.1	560
AT2G24630.1	691
AT2G03300.1	204
AT2G35610.1	645
AT2G02700.1	500
AT2G31957.1	83
AT2G47520.1	172
AT2G30460.1	354
AT2G30460.2	354
AT2G19560.1	414
AT2G35500.1	388
AT2G27200.1	538
AT2G02710.1	400
AT2G02710.2	398
AT2G02710.3	359
AT2G47910.1	247
AT2G47910.2	199
AT2G14846.1	100
AT2G23640.1	207
AT2G31740.1	761
AT2G14270.1	115
AT2G46200.1	383
AT2G46200.2	383
AT2G35170.1	485
AT2G01210.1	717
AT2G46493.1	185
AT2G25520.1	348
AT2G40290.1	345
AT2G40290.2	242
AT2G40290.3	242
AT2G04350.1	721
AT2G04350.2	721
AT2G38360.1	221
AT2G28305.1	214
AT2G04660.1	866
AT2G14880.1	142
AT2G16575.1	171
AT2G39700.1	258
AT2G33550.1	315
AT2G04425.1	102
AT2G22410.1	682
AT2G34630.2	423
AT2G34630.1	322
AT2G14390.1	263
AT2G03590.1	391
AT2G25450.1	360
AT2G23920.1	57
AT2G32680.1	891
AT2G28050.1	463
AT2G39725.1	91
AT2G39725.2	91
AT2G35733.1	64
AT2G47440.1	527
AT2G38660.1	353
AT2G38660.3	353
AT2G38660.4	333
AT2G38660.2	244
AT2G29910.1	353
AT2G29910.2	336
AT2G19900.1	582
AT2G43990.1	633
AT2G18050.1	168
AT2G18050.2	139
AT2G07749.1	247
AT2G19890.1	391
AT2G05940.1	463
AT2G45400.1	365
AT2G32280.1	164
AT2G03760.1	327
AT2G41233.1	36
AT2G22170.1	184
AT2G26480.1	453
AT2G27460.1	746
AT2G20550.1	285
AT2G20550.2	285
AT2G01470.1	394
AT2G16505.1	78
AT2G19800.1	318
AT2G34960.1	570
AT2G07785.1	100
AT2G41082.1	35
AT2G47960.1	443
AT2G02580.1	501
AT2G04495.1	203
AT2G25820.1	226
AT2G11200.1	155
AT2G21465.1	81
AT2G14206.1	32
AT2G28740.1	104
AT2G25330.1	694
AT2G03980.1	368
AT2G28560.1	372
AT2G28560.2	371
AT2G28560.3	339
AT2G28560.4	244
AT2G21140.1	322
AT2G17860.1	254
AT2G42950.1	502
AT2G01300.1	157
AT2G47130.1	258
AT2G16790.1	190
AT2G16790.2	188
AT2G35240.1	233
AT2G36890.1	299
AT2G40990.1	412
AT2G33740.2	183
AT2G33740.1	157
AT2G14750.1	277
AT2G32540.1	756
AT2G35960.1	211
AT2G33400.1	273
AT2G43210.1	532
AT2G43210.2	532
AT2G46720.1	467
AT2G35670.1	756
AT2G28970.1	787
AT2G45470.1	421
AT2G43030.1	272
AT2G24645.1	491
AT2G14910.1	387
AT2G14910.2	367
AT2G14540.1	408
AT2G45830.1	524
AT2G45830.2	383
AT2G27510.1	156
AT2G21610.1	353
AT2G02180.1	304
AT2G26830.1	375
AT2G42690.1	413
AT2G03250.1	757
AT2G39570.1	412
AT2G23060.1	414
AT2G23060.2	359
AT2G41450.1	613
AT2G41450.2	550
AT2G22120.2	364
AT2G22120.1	325
AT2G47470.1	362
AT2G47470.4	336
AT2G47470.3	324
AT2G47470.2	267
AT2G04030.1	781
AT2G04030.2	778
AT2G45110.1	260
AT2G22660.2	820
AT2G22660.1	587
AT2G39050.1	318
AT2G03955.1	78
AT2G39390.1	124
AT2G03020.1	256
AT2G03020.2	248
AT2G46890.1	323
AT2G39770.1	362
AT2G39770.2	362
AT2G33690.1	72
AT2G18162.1	42
AT2G24683.1	45
AT2G01023.1	40
AT2G29690.1	622
AT2G24180.1	504
AT2G13100.1	494
AT2G13100.2	330
AT2G13100.3	308
AT2G23900.1	478
AT2G04410.1	74
AT2G44745.1	219
AT2G29970.1	1003
AT2G07673.1	107
AT2G38100.1	522
AT2G22800.1	275
AT2G02120.1	78
AT2G37770.2	316
AT2G37770.1	284
AT2G40340.1	342
AT2G03620.1	422
AT2G03620.2	422
AT2G13623.1	81
AT2G34110.1	124
AT2G37160.2	574
AT2G37160.1	545
AT2G32000.1	866
AT2G32000.2	839
AT2G47220.1	470
AT2G24050.1	748
AT2G02720.1	456
AT2G42380.2	322
AT2G42380.1	311
AT2G39030.1	229
AT2G30920.1	323
AT2G27930.1	190
AT2G34790.1	533
AT2G03230.1	153
AT2G35540.1	591
AT2G05915.1	117
AT2G26670.1	283
AT2G26670.2	235
AT2G33500.1	403
AT2G33500.2	402
AT2G34770.1	238
AT2G01540.1	181
AT2G33760.1	584
AT2G41970.1	366
AT2G20080.1	179
AT2G20080.2	152
AT2G41730.1	120
AT2G16225.1	77
AT2G41830.1	1026
AT2G39130.1	551
AT2G28610.1	245
AT2G16880.1	744
AT2G14500.1	348
AT2G13463.1	62
AT2G43790.1	396
AT2G36530.1	445
AT2G31081.1	81
AT2G46850.1	634
AT2G16750.1	618
AT2G13680.1	1924
AT2G43040.1	705
AT2G45750.1	632
AT2G45060.1	273
AT2G33793.1	213
AT2G47690.1	119
AT2G47690.2	100
AT2G43560.1	224
AT2G09840.1	267
AT2G44010.1	102
AT2G44860.1	160
AT2G44860.2	160
AT2G47230.2	710
AT2G47230.1	702
AT2G44030.1	381
AT2G45650.1	253
AT2G23170.1	596
AT2G37478.1	44
AT2G30940.2	454
AT2G30940.1	452
AT2G41705.1	462
AT2G41705.2	462
AT2G39180.1	777
AT2G28350.1	694
AT2G19550.1	333
AT2G14580.1	162
AT2G41440.1	290
AT2G41440.2	172
AT2G28070.1	731
AT2G34170.1	524
AT2G34170.2	524
AT2G44080.1	136
AT2G18400.1	103
AT2G34290.1	266
AT2G35420.1	255
AT2G04500.1	496
AT2G29720.1	428
AT2G28260.1	679
AT2G28426.1	44
AT2G29640.1	361
AT2G41840.1	286
AT2G03340.1	514
AT2G19640.2	399
AT2G19640.1	342
AT2G39210.1	602
AT2G01340.1	216
AT2G47040.1	596
AT2G30770.1	504
AT2G02061.1	409
AT2G28630.1	477
AT2G45100.1	558
AT2G03290.1	214
AT2G38090.1	299
AT2G07741.1	386
AT2G01950.1	1144
AT2G43270.1	388
AT2G43270.2	209
AT2G21530.1	210
AT2G39320.1	190
AT2G36200.2	1041
AT2G36200.1	1010
AT2G18300.3	365
AT2G18300.2	338
AT2G18300.1	336
AT2G17525.1	627
AT2G26050.1	222
AT2G38020.1	859
AT2G38020.2	835
AT2G29125.1	116
AT2G17150.1	910
AT2G17150.2	655
AT2G45980.1	257
AT2G20130.1	257
AT2G24290.1	174
AT2G35345.1	100
AT2G32550.1	323
AT2G21090.1	598
AT2G31680.1	220
AT2G05170.1	933
AT2G20030.1	391
AT2G03670.1	604
AT2G34140.1	171
AT2G05642.1	533
AT2G42760.1	268
AT2G45450.1	137
AT2G21050.1	484
AT2G20770.1	406
AT2G36330.1	284
AT2G26695.1	139
AT2G44560.1	492
AT2G33705.1	70
AT2G47090.1	767
AT2G47090.2	744
AT2G23200.1	835
AT2G31300.1	379
AT2G16005.1	161
AT2G29263.1	62
AT2G36190.1	592
AT2G03630.1	253
AT2G03630.2	199
AT2G13560.1	624
AT2G29790.1	81
AT2G47620.1	513
AT2G28220.1	757
AT2G17510.2	1013
AT2G17510.1	934
AT2G19590.1	311
AT2G19280.1	694
AT2G19280.2	694
AT2G25940.1	479
AT2G15180.1	475
AT2G27170.1	1205
AT2G27170.2	1205
AT2G07734.1	363
AT2G33710.2	232
AT2G33710.1	219
AT2G32930.2	468
AT2G32930.1	454
AT2G04925.1	91
AT2G23240.1	86
AT2G23240.2	85
AT2G40110.1	131
AT2G40110.2	111
AT2G03880.1	631
AT2G06667.1	63
AT2G47720.1	73
AT2G17556.1	33
AT2G20784.1	52
AT2G21260.1	310
AT2G22650.1	421
AT2G07310.1	264
AT2G15230.1	394
AT2G41070.1	263
AT2G41070.2	263
AT2G41070.3	263
AT2G15110.1	584
AT2G22820.1	65
AT2G05600.1	240
AT2G26660.1	288
AT2G37790.1	315
AT2G37140.1	108
AT2G16586.1	54
AT2G45760.1	208
AT2G30530.1	372
AT2G41040.1	353
AT2G21920.1	279
AT2G17820.1	1208
AT2G45220.1	512
AT2G17850.1	157
AT2G20540.1	535
AT2G34210.1	990
AT2G03932.1	91
AT2G32910.1	692
AT2G34160.1	131
AT2G16070.2	308
AT2G16070.1	225
AT2G28010.1	397
AT2G15450.1	405
AT2G19120.1	1091
AT2G34400.1	622
AT2G31910.1	833
AT2G29040.1	721
AT2G18969.1	176
AT2G34610.1	291
AT2G05810.1	581
AT2G05810.2	581
AT2G30750.1	504
AT2G33205.1	423
AT2G37010.1	1083
AT2G12550.1	563
AT2G46640.3	284
AT2G46640.2	282
AT2G46640.1	270
AT2G27670.1	294
AT2G26820.1	464
AT2G41945.3	205
AT2G41945.2	167
AT2G41945.1	159
AT2G24340.1	323
AT2G28880.1	920
AT2G21490.1	186
AT2G45960.3	302
AT2G45960.1	287
AT2G45960.2	275
AT2G46410.1	95
AT2G39530.1	179
AT2G30710.1	441
AT2G22690.1	382
AT2G22690.2	382
AT2G03640.3	455
AT2G03640.4	454
AT2G03640.2	424
AT2G03640.1	423
AT2G19420.1	145
AT2G16810.1	296
AT2G24700.1	556
AT2G21280.1	348
AT2G29060.1	695
AT2G12475.1	86
AT2G25780.1	154
AT2G25160.1	528
AT2G19830.1	214
AT2G31480.1	473
AT2G36632.1	39
AT2G01290.1	266
AT2G37880.1	248
AT2G32630.1	625
AT2G27150.1	1333
AT2G27150.2	1333
AT2G02103.1	404
AT2G12935.1	148
AT2G03821.1	89
AT2G03500.1	433
AT2G24550.1	246
AT2G47260.1	338
AT2G17640.1	324
AT2G41700.1	1883
AT2G41700.2	1847
AT2G41410.1	217
AT2G24170.1	638
AT2G23149.1	36
AT2G42080.1	264
AT2G18130.1	442
AT2G24450.1	281
AT2G35060.2	794
AT2G35060.1	793
AT2G30160.1	332
AT2G19070.1	452
AT2G02026.1	60
AT2G03937.2	62
AT2G03937.1	60
AT2G17590.1	633
AT2G32250.1	808
AT2G32250.3	808
AT2G32250.2	806
AT2G32250.4	806
AT2G31110.2	365
AT2G31110.1	217
AT2G07701.1	107
AT2G15760.1	316
AT2G34925.1	89
AT2G37660.1	326
AT2G36160.1	151
AT2G33100.1	1037
AT2G20530.1	287
AT2G20530.2	287
AT2G24800.1	330
AT2G41720.1	823
AT2G41720.2	684
AT2G20450.1	135
AT2G20590.1	432
AT2G20590.2	324
AT2G33880.1	379
AT2G10550.1	171
AT2G31020.1	761
AT2G35780.1	453
AT2G01570.1	588
AT2G27775.2	113
AT2G27775.1	101
AT2G17280.1	272
AT2G17280.2	272
AT2G25220.2	438
AT2G25220.1	415
AT2G44760.1	501
AT2G26590.1	301
AT2G26590.2	301
AT2G26590.3	301
AT2G04039.3	207
AT2G04039.1	200
AT2G04039.2	166
AT2G44800.1	358
AT2G19880.2	521
AT2G19880.1	520
AT2G24410.1	79
AT2G36740.1	366
AT2G28330.1	155
AT2G38130.1	191
AT2G38130.2	191
AT2G07340.1	129
AT2G07340.2	128
AT2G34650.1	439
AT2G38195.1	400
AT2G38195.2	327
AT2G27570.1	274
AT2G16535.1	77
AT2G35020.1	503
AT2G43060.1	157
AT2G16770.1	250
AT2G28550.3	465
AT2G28550.1	450
AT2G28550.2	382
AT2G31670.1	264
AT2G18880.1	530
AT2G16430.2	469
AT2G16430.1	349
AT2G27410.1	258
AT2G15560.1	490
AT2G33620.1	352
AT2G33620.2	352
AT2G33620.3	352
AT2G33620.4	352
AT2G23960.1	252
AT2G41180.1	142
AT2G27120.1	2139
AT2G17690.1	422
AT2G14289.1	36
AT2G16400.1	483
AT2G44660.1	507
AT2G36110.1	240
AT2G38060.1	513
AT2G17800.1	198
AT2G17800.2	198
AT2G37430.1	179
AT2G33700.1	381
AT2G20840.1	283
AT2G43880.1	395
AT2G31005.1	82
AT2G26130.1	399
AT2G30560.1	172
AT2G16060.1	161
AT2G44620.1	123
AT2G21550.1	493
AT2G24810.1	194
AT2G34580.1	163
AT2G34580.2	163
AT2G18690.1	323
AT2G18690.2	242
AT2G30170.1	299
AT2G30170.2	222
AT2G05753.1	75
AT2G23400.1	254
AT2G47890.1	333
AT2G47890.2	238
AT2G19260.1	632
AT2G14050.1	647
AT2G37240.1	249
AT2G47770.1	197
AT2G40600.1	258
AT2G07050.1	760
AT2G21300.1	863
AT2G21300.2	863
AT2G02220.1	1009
AT2G14820.1	635
AT2G25964.1	51
AT2G14095.1	235
AT2G46980.2	794
AT2G46980.3	791
AT2G46980.1	517
AT2G28725.1	113
AT2G34040.1	554
AT2G34040.2	443
AT2G20140.1	444
AT2G44510.1	327
AT2G02340.1	306
AT2G23270.1	87
AT2G24300.2	600
AT2G24300.1	553
AT2G43080.1	284
AT2G42130.4	300
AT2G42130.3	272
AT2G42130.1	271
AT2G42130.2	270
AT2G42130.5	205
AT2G46505.1	152
AT2G22941.1	83
AT2G32890.1	78
AT2G23130.1	186
AT2G23130.2	163
AT2G37910.1	233
AT2G18196.1	179
AT2G03780.1	288
AT2G25640.1	746
AT2G15042.1	544
AT2G20920.1	288
AT2G16030.1	232
AT2G34880.1	807
AT2G16940.2	611
AT2G16940.3	600
AT2G16940.1	562
AT2G24615.1	85
AT2G21030.1	159
AT2G42460.1	443
AT2G42460.2	300
AT2G22310.2	380
AT2G22310.1	366
AT2G22480.1	538
AT2G20850.1	776
AT2G32300.1	262
AT2G23070.1	433
AT2G02650.1	366
AT2G01130.1	1114
AT2G02630.1	441
AT2G16660.1	547
AT2G44210.2	446
AT2G44210.1	416
AT2G20605.1	81
AT2G31410.1	200
AT2G38530.1	119
AT2G14000.1	347
AT2G03310.1	177
AT2G40935.1	191
AT2G40935.3	180
AT2G40935.2	167
AT2G43018.1	56
AT2G31082.1	87
AT2G39865.1	49
AT2G35910.1	218
AT2G32730.1	1005
AT2G20560.1	338
AT2G36430.1	449
AT2G13660.1	178
AT2G31560.1	203
AT2G31560.2	203
AT2G20430.1	213
AT2G28620.1	1043
AT2G26800.2	469
AT2G26800.1	434
AT2G26800.3	356
AT2G42005.1	414
AT2G47660.1	36
AT2G26310.1	399
AT2G26310.2	374
AT2G26310.3	271
AT2G03830.1	124
AT2G05840.1	247
AT2G05840.2	221
AT2G12646.1	257
AT2G04622.1	82
AT2G01990.1	214
AT2G04630.1	145
AT2G16220.1	408
AT2G36750.1	492
AT2G27660.1	719
AT2G22610.1	1084
AT2G22610.2	1063
AT2G37130.1	328
AT2G37130.2	297
AT2G44970.1	504
AT2G44970.2	503
AT2G18240.1	222
AT2G18240.2	221
AT2G32440.1	490
AT2G32440.2	490
