model	cds-gc
AT2G44120.1	0.51105
AT2G32360.1	0.470363
AT2G23360.1	0.517831
AT2G31865.2	0.477415
AT2G31865.1	0.476343
AT2G16710.3	0.47541
AT2G16710.1	0.474328
AT2G16710.2	0.469512
AT2G20680.1	0.476484
AT2G29080.1	0.466392
AT2G22050.1	0.494194
AT2G22050.2	0.493523
AT2G20350.1	0.525424
AT2G46280.1	0.470468
AT2G46280.2	0.470468
AT2G46280.3	0.482895
AT2G26640.1	0.469508
AT2G28810.1	0.543222
AT2G28810.2	0.544984
AT2G19870.1	0.46119
AT2G46700.1	0.484016
AT2G46700.2	0.482448
AT2G14210.1	0.572857
AT2G22060.1	0.385321
AT2G26530.1	0.525817
AT2G26530.2	0.524194
AT2G35330.1	0.459765
AT2G35330.2	0.460347
AT2G41860.1	0.479849
AT2G41860.2	0.479219
AT2G35410.1	0.509761
AT2G42450.1	0.491443
AT2G28520.1	0.469171
AT2G27780.1	0.526316
AT2G21690.1	0.475645
AT2G05510.1	0.453826
AT2G05510.2	0.445161
AT2G05510.5	0.448505
AT2G05510.4	0.467797
AT2G05510.6	0.451264
AT2G05510.3	0.44403
AT2G21810.1	0.489529
AT2G26380.1	0.515299
AT2G33730.1	0.473828
AT2G42980.1	0.519316
AT2G39760.1	0.476268
AT2G39760.2	0.468354
AT2G27145.1	0.502128
AT2G22345.1	0.436464
AT2G44440.1	0.521401
AT2G16580.1	0.509317
AT2G37810.1	0.503587
AT2G29900.1	0.41127
AT2G31440.1	0.42246
AT2G30730.1	0.494071
AT2G21220.1	0.516129
AT2G32290.1	0.516484
AT2G23690.1	0.435318
AT2G40710.1	0.415162
AT2G40116.1	0.499728
AT2G18915.2	0.445112
AT2G18915.1	0.445863
AT2G16620.1	0.506297
AT2G30925.1	0.540323
AT2G40400.1	0.479346
AT2G40400.2	0.479346
AT2G30440.1	0.453831
AT2G02930.1	0.545741
AT2G13790.1	0.48493
AT2G03550.1	0.497859
AT2G26280.1	0.476751
AT2G11005.1	0.364173
AT2G32040.1	0.4559
AT2G17480.1	0.471581
AT2G39850.1	0.53121
AT2G20618.1	0.477178
AT2G17750.1	0.508432
AT2G34940.1	0.485961
AT2G18720.1	0.489347
AT2G13800.1	0.481399
AT2G20320.1	0.488493
AT2G16190.1	0.544653
AT2G16190.2	0.552473
AT2G30470.1	0.481841
AT2G21960.1	0.493964
AT2G18900.1	0.46888
AT2G02050.1	0.501629
AT2G27300.1	0.48654
AT2G31800.1	0.474053
AT2G02970.1	0.461816
AT2G34530.1	0.517773
AT2G34530.2	0.511789
AT2G01554.1	0.523962
AT2G40030.1	0.491056
AT2G26320.1	0.541538
AT2G19050.1	0.484211
AT2G12400.1	0.4781
AT2G43230.2	0.496965
AT2G43230.1	0.492599
AT2G30840.1	0.476937
AT2G46420.1	0.5115
AT2G46420.2	0.513069
AT2G44110.2	0.496978
AT2G44110.1	0.496635
AT2G30000.1	0.472561
AT2G46455.1	0.438849
AT2G36420.1	0.488213
AT2G06200.1	0.513699
AT2G33580.1	0.539698
AT2G37100.1	0.554556
AT2G15610.1	0.533917
AT2G38010.2	0.468829
AT2G38010.1	0.472455
AT2G20625.1	0.461682
AT2G19490.1	0.48059
AT2G15440.1	0.480203
AT2G35320.1	0.470076
AT2G29890.3	0.499821
AT2G29890.2	0.500183
AT2G29890.1	0.50055
AT2G30870.1	0.458787
AT2G43960.1	0.445619
AT2G47400.1	0.432432
AT2G42750.1	0.498058
AT2G03565.1	0.55102
AT2G40360.1	0.501108
AT2G05050.1	0.461005
AT2G24190.2	0.463929
AT2G24190.1	0.467269
AT2G20750.1	0.527744
AT2G30020.1	0.448567
AT2G01170.1	0.465718
AT2G01170.2	0.456073
AT2G33270.1	0.510404
AT2G43820.1	0.501859
AT2G39445.1	0.480591
AT2G22560.1	0.499119
AT2G12462.1	0.54094
AT2G39800.1	0.468125
AT2G39800.4	0.468125
AT2G39800.3	0.468692
AT2G39800.2	0.479891
AT2G43510.1	0.445283
AT2G03030.1	0.503279
AT2G43010.1	0.553571
AT2G43010.2	0.553822
AT2G09990.1	0.470183
AT2G36854.1	0.491713
AT2G28760.1	0.498539
AT2G28760.2	0.498539
AT2G28760.3	0.498539
AT2G02520.1	0.450079
AT2G27970.1	0.502024
AT2G02795.1	0.484064
AT2G05330.1	0.48367
AT2G36400.1	0.543624
AT2G41950.1	0.474874
AT2G43640.1	0.537396
AT2G43640.2	0.537396
AT2G43640.3	0.556886
AT2G41760.1	0.473525
AT2G46490.1	0.515
AT2G42240.2	0.480088
AT2G42240.1	0.482838
AT2G42240.3	0.483237
AT2G25260.1	0.514925
AT2G35270.1	0.461899
AT2G46330.1	0.474654
AT2G46330.2	0.508876
AT2G02140.1	0.493088
AT2G24880.1	0.513158
AT2G17050.1	0.49717
AT2G02060.1	0.496084
AT2G21010.1	0.501305
AT2G15025.1	0.468354
AT2G30130.1	0.570191
AT2G04900.1	0.45288
AT2G04900.2	0.455479
AT2G13650.1	0.469408
AT2G13650.3	0.469408
AT2G13650.2	0.467059
AT2G27035.1	0.523614
AT2G38760.1	0.478668
AT2G24980.1	0.677015
AT2G24630.1	0.468569
AT2G03300.1	0.500824
AT2G35610.1	0.481347
AT2G02700.1	0.518395
AT2G31957.1	0.487705
AT2G47520.1	0.520548
AT2G30460.1	0.475875
AT2G30460.2	0.475875
AT2G19560.1	0.489895
AT2G35500.1	0.480587
AT2G27200.1	0.522685
AT2G02710.1	0.456067
AT2G02710.2	0.455004
AT2G02710.3	0.453358
AT2G47910.1	0.487772
AT2G47910.2	0.491554
AT2G14846.1	0.457627
AT2G23640.1	0.452922
AT2G31740.1	0.467515
AT2G14270.1	0.494118
AT2G46200.1	0.526224
AT2G46200.2	0.526224
AT2G35170.1	0.468276
AT2G01210.1	0.498136
AT2G46493.1	0.470909
AT2G25520.1	0.440808
AT2G40290.1	0.475728
AT2G40290.2	0.453537
AT2G40290.3	0.453537
AT2G04350.1	0.451344
AT2G04350.2	0.451344
AT2G38360.1	0.481763
AT2G28305.1	0.478807
AT2G04660.1	0.478982
AT2G14880.1	0.56057
AT2G16575.1	0.503937
AT2G39700.1	0.50065
AT2G33550.1	0.458511
AT2G04425.1	0.478405
AT2G22410.1	0.44929
AT2G34630.2	0.481013
AT2G34630.1	0.491155
AT2G14390.1	0.554847
AT2G03590.1	0.481164
AT2G25450.1	0.496744
AT2G23920.1	0.445783
AT2G32680.1	0.511994
AT2G28050.1	0.421243
AT2G39725.1	0.537313
AT2G39725.2	0.537313
AT2G35733.1	0.390374
AT2G47440.1	0.524112
AT2G38660.1	0.451613
AT2G38660.3	0.451613
AT2G38660.4	0.448692
AT2G38660.2	0.456671
AT2G29910.1	0.469639
AT2G29910.2	0.460618
AT2G19900.1	0.487076
AT2G43990.1	0.485744
AT2G18050.1	0.583166
AT2G18050.2	0.567961
AT2G07749.1	0.453804
AT2G19890.1	0.493151
AT2G05940.1	0.518786
AT2G45400.1	0.466972
AT2G32280.1	0.431211
AT2G03760.1	0.471311
AT2G41233.1	0.563107
AT2G22170.1	0.49543
AT2G26480.1	0.491876
AT2G27460.1	0.483206
AT2G20550.1	0.487059
AT2G20550.2	0.487059
AT2G01470.1	0.446049
AT2G16505.1	0.515284
AT2G19800.1	0.500527
AT2G34960.1	0.455718
AT2G07785.1	0.39661
AT2G41082.1	0.4
AT2G47960.1	0.524924
AT2G02580.1	0.495327
AT2G04495.1	0.501656
AT2G25820.1	0.484398
AT2G11200.1	0.497826
AT2G21465.1	0.466387
AT2G14206.1	0.494505
AT2G28740.1	0.456026
AT2G25330.1	0.444872
AT2G03980.1	0.494086
AT2G28560.1	0.49775
AT2G28560.2	0.501805
AT2G28560.3	0.488142
AT2G28560.4	0.474553
AT2G21140.1	0.561915
AT2G17860.1	0.499339
AT2G42950.1	0.469687
AT2G01300.1	0.5
AT2G47130.1	0.452536
AT2G16790.1	0.465487
AT2G16790.2	0.465116
AT2G35240.1	0.504323
AT2G36890.1	0.55157
AT2G40990.1	0.504468
AT2G33740.2	0.474265
AT2G33740.1	0.472103
AT2G14750.1	0.435835
AT2G32540.1	0.474591
AT2G35960.1	0.542994
AT2G33400.1	0.501229
AT2G43210.1	0.505343
AT2G43210.2	0.505343
AT2G46720.1	0.499284
AT2G35670.1	0.535572
AT2G28970.1	0.504669
AT2G45470.1	0.573927
AT2G43030.1	0.525277
AT2G24645.1	0.48842
AT2G14910.1	0.477509
AT2G14910.2	0.483577
AT2G14540.1	0.509434
AT2G45830.1	0.508615
AT2G45830.2	0.481643
AT2G27510.1	0.468683
AT2G21610.1	0.518027
AT2G02180.1	0.428886
AT2G26830.1	0.492857
AT2G42690.1	0.481361
AT2G03250.1	0.485878
AT2G39570.1	0.471974
AT2G23060.1	0.459984
AT2G23060.2	0.455224
AT2G41450.1	0.516903
AT2G41450.2	0.514894
AT2G22120.2	0.451702
AT2G22120.1	0.442268
AT2G47470.1	0.487512
AT2G47470.4	0.480558
AT2G47470.3	0.483971
AT2G47470.2	0.478643
AT2G04030.1	0.494012
AT2G04030.2	0.493774
AT2G45110.1	0.489032
AT2G22660.2	0.470061
AT2G22660.1	0.47836
AT2G39050.1	0.544784
AT2G03955.1	0.436681
AT2G39390.1	0.498638
AT2G03020.1	0.51114
AT2G03020.2	0.508796
AT2G46890.1	0.476141
AT2G39770.1	0.479186
AT2G39770.2	0.479186
AT2G33690.1	0.592417
AT2G18162.1	0.504132
AT2G24683.1	0.515385
AT2G01023.1	0.469565
AT2G29690.1	0.490596
AT2G24180.1	0.477107
AT2G13100.1	0.388626
AT2G13100.2	0.456853
AT2G13100.3	0.458107
AT2G23900.1	0.508048
AT2G04410.1	0.520737
AT2G44745.1	0.507669
AT2G29970.1	0.485353
AT2G07673.1	0.629747
AT2G38100.1	0.469571
AT2G22800.1	0.512195
AT2G02120.1	0.467249
AT2G37770.2	0.494168
AT2G37770.1	0.498229
AT2G40340.1	0.456415
AT2G03620.1	0.463125
AT2G03620.2	0.463125
AT2G13623.1	0.516807
AT2G34110.1	0.46049
AT2G37160.2	0.470588
AT2G37160.1	0.477914
AT2G32000.1	0.497879
AT2G32000.2	0.498806
AT2G47220.1	0.498932
AT2G24050.1	0.49933
AT2G02720.1	0.523111
AT2G42380.2	0.598335
AT2G42380.1	0.605603
AT2G39030.1	0.514663
AT2G30920.1	0.493776
AT2G27930.1	0.536283
AT2G34790.1	0.485571
AT2G03230.1	0.497797
AT2G35540.1	0.457014
AT2G05915.1	0.511561
AT2G26670.1	0.486967
AT2G26670.2	0.495714
AT2G33500.1	0.473422
AT2G33500.2	0.472939
AT2G34770.1	0.489422
AT2G01540.1	0.501859
AT2G33760.1	0.452204
AT2G41970.1	0.492223
AT2G20080.1	0.518797
AT2G20080.2	0.525499
AT2G41730.1	0.538028
AT2G16225.1	0.513274
AT2G41830.1	0.503417
AT2G39130.1	0.463592
AT2G28610.1	0.571233
AT2G16880.1	0.486753
AT2G14500.1	0.481232
AT2G13463.1	0.585635
AT2G43790.1	0.511412
AT2G36530.1	0.487218
AT2G31081.1	0.516807
AT2G46850.1	0.487612
AT2G16750.1	0.491076
AT2G13680.1	0.469742
AT2G43040.1	0.480569
AT2G45750.1	0.483342
AT2G45060.1	0.506143
AT2G33793.1	0.544164
AT2G47690.1	0.5
AT2G47690.2	0.481356
AT2G43560.1	0.493253
AT2G09840.1	0.442211
AT2G44010.1	0.501661
AT2G44860.1	0.551579
AT2G44860.2	0.551579
AT2G47230.2	0.502588
AT2G47230.1	0.507377
AT2G44030.1	0.497364
AT2G45650.1	0.507958
AT2G23170.1	0.50028
AT2G37478.1	0.409449
AT2G30940.2	0.509211
AT2G30940.1	0.509993
AT2G41705.1	0.446054
AT2G41705.2	0.446054
AT2G39180.1	0.440671
AT2G28350.1	0.487241
AT2G19550.1	0.459759
AT2G14580.1	0.511435
AT2G41440.1	0.499422
AT2G41440.2	0.491194
AT2G28070.1	0.446069
AT2G34170.1	0.530313
AT2G34170.2	0.530313
AT2G44080.1	0.473945
AT2G18400.1	0.493421
AT2G34290.1	0.469105
AT2G35420.1	0.486842
AT2G04500.1	0.471342
AT2G29720.1	0.477717
AT2G28260.1	0.482776
AT2G28426.1	0.503937
AT2G29640.1	0.514842
AT2G41840.1	0.443142
AT2G03340.1	0.52635
AT2G19640.2	0.434564
AT2G19640.1	0.439765
AT2G39210.1	0.462521
AT2G01340.1	0.531882
AT2G47040.1	0.525519
AT2G30770.1	0.510949
AT2G02061.1	0.479542
AT2G28630.1	0.504208
AT2G45100.1	0.4997
AT2G03290.1	0.472527
AT2G38090.1	0.560538
AT2G07741.1	0.434519
AT2G01950.1	0.513569
AT2G43270.1	0.470233
AT2G43270.2	0.461415
AT2G21530.1	0.5424
AT2G39320.1	0.539823
AT2G36200.2	0.521809
AT2G36200.1	0.525289
AT2G18300.3	0.53578
AT2G18300.2	0.536174
AT2G18300.1	0.537388
AT2G17525.1	0.43177
AT2G26050.1	0.518911
AT2G38020.1	0.46112
AT2G38020.2	0.462
AT2G29125.1	0.51312
AT2G17150.1	0.497248
AT2G17150.2	0.484694
AT2G45980.1	0.483029
AT2G20130.1	0.466057
AT2G24290.1	0.458414
AT2G35345.1	0.437288
AT2G32550.1	0.475104
AT2G21090.1	0.466741
AT2G31680.1	0.514504
AT2G05170.1	0.489621
AT2G20030.1	0.501712
AT2G03670.1	0.504704
AT2G34140.1	0.517717
AT2G05642.1	0.538896
AT2G42760.1	0.49562
AT2G45450.1	0.596059
AT2G21050.1	0.472702
AT2G20770.1	0.431987
AT2G36330.1	0.460449
AT2G26695.1	0.456311
AT2G44560.1	0.505099
AT2G33705.1	0.497561
AT2G47090.1	0.515679
AT2G47090.2	0.515043
AT2G23200.1	0.4924
AT2G31300.1	0.481449
AT2G16005.1	0.516736
AT2G29263.1	0.535912
AT2G36190.1	0.499153
AT2G03630.1	0.546419
AT2G03630.2	0.532095
AT2G13560.1	0.464917
AT2G29790.1	0.60084
AT2G47620.1	0.506519
AT2G28220.1	0.497793
AT2G17510.2	0.484509
AT2G17510.1	0.485878
AT2G19590.1	0.493534
AT2G19280.1	0.423688
AT2G19280.2	0.423688
AT2G25940.1	0.462989
AT2G15180.1	0.545775
AT2G27170.1	0.51385
AT2G27170.2	0.51385
AT2G07734.1	0.559041
AT2G33710.2	0.53835
AT2G33710.1	0.533742
AT2G32930.2	0.518227
AT2G32930.1	0.530582
AT2G04925.1	0.455224
AT2G23240.1	0.494071
AT2G23240.2	0.492
AT2G40110.1	0.46134
AT2G40110.2	0.47561
AT2G03880.1	0.446504
AT2G06667.1	0.429348
AT2G47720.1	0.504673
AT2G17556.1	0.414894
AT2G20784.1	0.496689
AT2G21260.1	0.509189
AT2G22650.1	0.476948
AT2G07310.1	0.498094
AT2G15230.1	0.463042
AT2G41070.1	0.519133
AT2G41070.2	0.519133
AT2G41070.3	0.519133
AT2G15110.1	0.532914
AT2G22820.1	0.631579
AT2G05600.1	0.48951
AT2G26660.1	0.515716
AT2G37790.1	0.47766
AT2G37140.1	0.467085
AT2G16586.1	0.490446
AT2G45760.1	0.442649
AT2G30530.1	0.507651
AT2G41040.1	0.481025
AT2G21920.1	0.515625
AT2G17820.1	0.507875
AT2G45220.1	0.504899
AT2G17850.1	0.506438
AT2G20540.1	0.449375
AT2G34210.1	0.48027
AT2G03932.1	0.421642
AT2G32910.1	0.512313
AT2G34160.1	0.510309
AT2G16070.2	0.487486
AT2G16070.1	0.465672
AT2G28010.1	0.504216
AT2G15450.1	0.530579
AT2G19120.1	0.483476
AT2G34400.1	0.445459
AT2G31910.1	0.494787
AT2G29040.1	0.494903
AT2G18969.1	0.539197
AT2G34610.1	0.551843
AT2G05810.1	0.543728
AT2G05810.2	0.543728
AT2G30750.1	0.508958
AT2G33205.1	0.473101
AT2G37010.1	0.499692
AT2G12550.1	0.497625
AT2G46640.3	0.525384
AT2G46640.2	0.524376
AT2G46640.1	0.520497
AT2G27670.1	0.526796
